Date,Exercise,Reps,Weight,
06/04/2019,Snatch,1,68,
31/05/2019,Snatch,1,74,
12/07/2019,Snatch,1,77,
16/07/2019,Snatch,1,79,
08/05/2029,Power Snatch,1,61,
11/06/2019,Power Snatch,1,64,
10/07/2019,Power Snatch,1,69,
20/10/2019,Power Snatch,1,73,
06/06/2019,Snatch Balance,1,70,
18/06/2019,Snatch Balance,1,78,
24/07/2019,Snatch Balance,1,85,
13/08/2019,Snatch Balance,1,90,
30/04/2019,Overhead Squat,1,80,
06/04/2019,Clean and Jerk,1,92,
31/05/2019,Clean and Jerk,1,94,
12/07/2019,Clean and Jerk,1,97,
16/07/2019,Clean and Jerk,1,100,
10/10/2019,Clean and Jerk,1,104,
08/05/2019,Power Clean and Jerk,1,81,
02/07/2019,Power Clean and Jerk,1,85,
13/08/2019,Power Clean and Jerk,1,86,
16/04/2019,Power Clean,1,82,
23/04/2019,Power Clean,1,84,
05/11/2019,Power Clean,1,92,
30/10/2019,Clean Pull,1,130,
16/06/2019,Front Squat,1,98,
16/06/2019,Front Squat,1,104,
20/12/2019,Front Squat,1,110,
20/05/2019,Back Squat,1,113,
20/10/2019,Back Squat,1,120,
10/11/2019,Back Squat,1,124,
20/04/2020,Back Squat,1,125,
16/05/2019,Snatch,2,66,
20/06/2019,Snatch,2,67,
12/07/2019,Snatch,2,70,
22/08/2019,Snatch,2,71,
08/05/2019,Power Snatch,2,60,
11/06/2019,Power Snatch,2,62,
10/07/2019,Power Snatch,2,63,
15/11/2019,Power Snatch,2,66,
16/06/2019,Snatch Balance,2,75,
24/06/2019,Snatch Balance,2,78,
02/07/2019,Snatch Balance,2,80,
13/08/2019,Snatch Balance,2,86,
30/04/2019,Overhead Squat,2,73,
16/05/2019,Clean and Jerk,2,75,
20/06/2019,Clean and Jerk,2,77,
12/07/2019,Clean and Jerk,2,80,
22/08/2019,Clean and Jerk,2,83,
10/11/2019,Clean and Jerk,2,87,
08/05/2019,Power Clean and Jerk,2,78,
24/06/2019,Power Clean and Jerk,2,80,
13/08/2019,Power Clean and Jerk,2,83,
31/10/2019,Power Clean and Jerk,2,87,
30/04/2019,Front Squat,2,95,
16/06/2019,Front Squat,2,96,
24/10/2019,Front Squat,2,103,
18/04/2019,Back Squat,2,98,
09/05/2019,Back Squat,2,110,
12/07/2019,Back Squat,2,113,
15/10/2019,Clean,2,92,
16/05/2019,Snatch,3,55,
16/07/2019,Snatch,3,60,
22/08/2019,Snatch,3,61,
29/10/2019,Snatch,3,67,
14/04/2019,Power Snatch,3,55,
08/05/2019,Power Snatch,3,57,
11/06/2019,Power Snatch,3,58,
11/06/2019,Power Snatch,3,60,
06/06/2019,Snatch Balance,3,67,
16/06/2019,Snatch Balance,3,72,
13/08/2019,Snatch Balance,3,75,
30/04/2019,Overhead Squat,3,64,
30/05/2019,Overhead Squat,3,70,
16/05/2019,Clean and Jerk,3,60,
24/06/2019,Power Clean and Jerk,3,65,
31/10/2019,Power Clean and Jerk,3,70,
26/11/2019,Power Clean and Jerk,3,75,
25/04/2019,Front Squat,3,88,
16/06/2019,Front Squat,3,93,
26/09/2019,Front Squat,3,95,
24/10/2019,Front Squat,3,100,
02/05/2019,Back Squat,3,100,
20/06/2019,Back Squat,3,105,
20/08/2019,Back Squat,3,109,
20/10/2019,Back Squat,3,110,
06/06/2019,Power Clean,3,76,
06/06/2019,Jerk From Rack,3,66,
11/06/2019,Jerk From Rack,3,70,
04/07/2019,Jerk From Rack,3,72,
10/10/2019,Jerk From Rack,3,80,
15/10/2019,Jerk From Rack,3,85,
11/06/2019,Snatch Pull,3,95,
20/06/2019,Clean Pull,3,105,
04/07/2019,Clean,3,75,
10/10/2019,Clean,3,80,
15/10/2019,Clean,3,83,
24/10/2019,Clean,3,91,
,,,,
07/04/2020,F Squat SD,3,40,
07/04/2020,Front Squat Slow Descent,3,50,
07/04/2020,Front Squat Slow Descent,3,60,
07/04/2020,Front Squat Slow Descent,3,70,
07/04/2020,Front Squat Slow Descent,8,76,
07/04/2020,Front Squat Slow Descent,7,79,
07/04/2020,Front Squat Slow Descent,6,81,
07/04/2020,Front Squat Slow Descent,5,83,
07/04/2020,Front Squat Slow Descent,4,85,
,,,,
07/04/2020,Power Snatch Pause,3,30,
07/04/2020,Power Snatch Pause,3,40,
07/04/2020,Power Snatch Pause,3,50,
07/04/2020,Power Snatch Pause,3,53,
07/04/2020,Power Snatch Pause,3,54,
07/04/2020,Power Snatch Pause,3,56,
07/04/2020,Power Snatch Pause,3,57,
07/04/2020,Power Snatch Pause,3,59,
,,,,
07/04/2020,S Pull Hover,6,62,
07/04/2020,Snatch Pull Hover,6,64,
07/04/2020,Snatch Pull Hover,5,65,
07/04/2020,Snatch Pull Hover,5,67,
07/04/2020,Snatch Pull Hover,5,69,
,,,,
07/04/2020,Seated Press,5,41,
07/04/2020,S Press,5,42,
07/04/2020,Seated Press,5,44,
07/04/2020,Seated Press,5,45,
07/04/2020,Seated Press,5,47,
,,,,
09/04/2020,Overhead Squatuat,3,30,
09/04/2020,Overhead Squatuat,3,40,
09/04/2020,Overhead Squatuat,3,50,
09/04/2020,Overhead Squatuat,3,56,
09/04/2020,Overhead Squatuat,3,57,
09/04/2020,Overhead Squatuat,3,59,
09/04/2020,Overhead Squatuat,3,61,
09/04/2020,Overhead Squatuat,3,62,
,,,,
09/04/2020,Jerk LH,3,66,
09/04/2020,Jerk Long Hold,3,67,
09/04/2020,Jerk Long Hold,3,69,
09/04/2020,Jerk Long Hold,3,71,
09/04/2020,Jerk Long Hold,3,73,
,,,,
09/04/2020,Clean Pull SL,5,73,
09/04/2020,Clean Pull Slow Lower,5,75,
09/04/2020,Clean Pull Slow Lower,5,77,
09/04/2020,Clean Pull Slow Lower,5,79,
09/04/2020,Clean Pull Slow Lower,5,81,
,,,,
09/04/2020,B Sq Rapid,10,60,
09/04/2020,Back Squat Rapid,8,60,
09/04/2020,Back Squat Rapid,7,62,
09/04/2020,Back Squat Rapid,6,63,
09/04/2020,Back Squat Rapid,5,65,
,,,,
12/04/2020,Power Snatch,3,30,
12/04/2020,Power Snatch,3,40,
12/04/2020,Power Snatch,3,50,
12/04/2020,Power Snatch,3,55,
12/04/2020,Power Snatch,3,56,
12/04/2020,Power Snatch,3,58,
12/04/2020,Power Snatch,3,59,
12/04/2020,Power Snatch,3,61,
,,,,
12/04/2020,Power Clean and Jerk,3,50,
12/04/2020,Power Clean and Jerk,3,60,
12/04/2020,Power Clean and Jerk,3,65,
12/04/2020,Power Clean and Jerk,3,68,
12/04/2020,Power Clean and Jerk,3,70,
12/04/2020,Power Clean and Jerk,3,72,
12/04/2020,Power Clean and Jerk,2,74,
12/04/2020,Power Clean and Jerk,2,75,
,,,,
12/04/2020,Back Squat,5,50,
12/04/2020,Back Squat,5,60,
12/04/2020,Back Squat,5,70,
12/04/2020,Back Squat,5,80,
12/04/2020,Back Squat,5,84,
12/04/2020,Back Squat,5,86,
12/04/2020,Back Squat,5,89,
12/04/2020,Back Squat,5,90,
12/04/2020,Back Squat,5,83,
,,,,
12/04/2020,Seated Press,7,36,
12/04/2020,Seated Press,6,37,
12/04/2020,Seated Press,5,38,
12/04/2020,Seated Press,5,40,
12/04/2020,Seated Press,5,41,
,,,,
16/04/2020,Front Squat,5,20,
