Snatch,Snatch
Snatch Top Thigh,Snatch
Snatch Balance,Snatch
Power Snatch,Snatch
Power Snatch Pause,Snatch
Power Snatch From Knee,Snatch
Power Snatch Hover,Snatch
Clean and Jerk,Clean and Jerk
Clean,Clean and Jerk
P CJ,Clean and Jerk
Power Clean,Clean and Jerk
Power Clean & Press,Clean and Jerk
Front Squat,Clean and Jerk
Front Squat Slow Descent,Clean and Jerk
Half Front Squat,Clean and Jerk
Back Squat,Clean and Jerk
Half Back Squat,Clean and Jerk
Back Squat Rapid,Clean and Jerk
Overhead Squat,Snatch
Split Squat,Snatch
Snatch Pull,Snatch
Snatch Pull Hover,Snatch
Snatch Pull High,Snatch
Snatch Pull MR?,Snatch
Clean Pull,Clean and Jerk
Clean Pull Slow Lower,Clean and Jerk
Clean Pull From Block,Clean and Jerk
Clean Pull Hover,Clean and Jerk
Clean Pull Deficit,Clean and Jerk
Romanian Dead Lift,Clean and Jerk
Push Press,Clean and Jerk
Seated Press,Clean and Jerk
Press,Clean and Jerk
Press Behind the Neck,Clean and Jerk
Jerk From Rack,Clean and Jerk
Jerk Long Hold,Clean and Jerk
Power Jerk,Clean and Jerk
Jerk No Dip,Clean and Jerk
Good Morning,Clean and Jerk
